Veh_Age,Gender,Exposure,Claim_Ind,Claim_Sev
3,F,0.45,1,2.191756253
1,M,0.88,0,0
3,F,0.27,1,14.52954985
3,M,0.48,1,31.7330274
4,F,0.43,0,0
1,F,0.29,0,0
2,M,0.31,1,19.0702566
3,M,0.01,0,0
1,M,0.13,0,0
2,M,0.74,1,19.32760583
2,M,0.82,1,4.949117701
3,M,0.70,1,1.857504391
3,F,0.96,1,9.240284715
3,M,0.89,1,1.280685507
1,F,0.27,1,17.57609706
1,F,0.27,1,2.873971341
2,F,0.59,1,7.995483515
3,F,0.58,0,0
4,M,0.29,0,0
3,F,0.68,1,20.8071474
4,M,0.68,0,0
1,F,0.59,1,5.209964254
3,M,0.84,0,0
3,M,0.12,0,0
2,M,0.83,0,0
3,M,0.96,0,0
3,F,0.14,0,0
1,M,0.46,1,1.066527073
3,M,0.89,1,12.87929897
3,M,0.88,1,8.119774207
1,F,0.44,1,23.84974719
2,M,0.50,0,0
1,M,0.18,1,29.21302513
3,M,0.45,1,3.303526407
2,F,0.03,1,0.3142942118
2,F,0.94,0,0
1,F,0.96,0,0
3,F,0.41,1,0.9272807261
2,M,0.99,1,6.85776304
3,F,0.44,1,4.807593989
2,F,0.11,0,0
2,M,0.53,1,7.557045901
4,F,0.36,1,30.83408202
2,M,0.57,0,0
2,M,0.48,0,0
2,M,0.98,1,26.41735567
2,M,0.74,1,3.12366675
2,F,0.28,1,5.769089735
4,F,0.62,1,8.274778035
4,F,0.90,1,21.74003404
2,M,0.22,1,1.876629488
3,F,0.80,0,0
3,M,0.64,1,1.90759059
4,F,0.81,1,4.167658367
1,F,0.55,0,0
2,F,0.85,0,0
3,M,0.60,1,10.4352854
2,F,0.63,0,0
2,M,0.74,0,0
2,M,0.39,0,0
4,F,0.65,0,0
3,M,0.65,1,4.181731853
4,M,0.82,0,0
2,M,0.13,0,0
3,M,0.25,0,0
1,M,0.65,1,1.129025332
4,M,0.58,1,0.525562043
2,M,0.42,0,0
2,F,0.18,1,4.09407648
3,M,0.40,0,0
2,F,0.89,1,2.41921274
4,M,0.27,0,0
1,F,0.68,0,0
1,M,0.43,0,0
2,M,0.13,1,7.553913167
2,F,0.72,0,0
1,F,0.16,1,3.092183462
1,F,0.13,1,20.97270634
3,F,0.51,1,2.38033251
3,F,0.78,0,0
4,F,0.00,1,9.399819756
2,F,0.95,1,30.00400786
2,M,0.38,0,0
3,F,0.96,1,2.951782562
4,M,0.45,1,1.637183104
3,F,0.78,1,6.493911519
2,F,0.74,0,0
1,M,0.31,1,8.623437272
2,M,0.75,0,0
4,M,0.19,1,1.313660537
1,F,0.80,0,0
1,F,0.74,1,1.638009765
3,F,0.14,0,0
2,M,0.83,0,0
4,M,0.34,0,0
2,M,0.46,0,0
4,F,0.39,0,0
4,F,0.73,0,0
4,F,0.55,0,0
4,M,0.27,1,3.79454567
4,M,0.56,0,0
1,M,0.88,1,2.070503296
2,M,0.58,1,13.96099608
3,M,0.36,1,7.35615008
4,F,0.12,0,0
1,F,0.41,0,0
3,F,0.88,0,0
3,F,0.60,1,9.143448039
1,M,0.29,0,0
2,F,0.78,0,0
2,F,0.92,1,24.00844448
1,M,0.01,1,10.35125737
1,M,0.44,0,0
2,F,0.87,0,0
1,F,0.64,1,16.32929129
3,M,0.45,1,17.80707932
4,M,0.64,0,0
1,M,0.75,1,5.07586791
4,F,0.10,1,22.83235753
1,M,0.71,0,0
3,M,0.03,1,4.09877453
2,M,0.53,0,0
1,M,0.04,0,0
4,M,0.08,1,19.05057176
2,M,0.44,0,0
1,F,0.79,1,14.04816804
3,F,0.58,1,6.538320276
4,F,0.06,0,0
4,M,0.95,0,0
1,F,0.40,0,0
4,M,0.32,1,27.75118342
2,F,0.77,1,18.73488838
1,F,0.19,1,1.901172088
1,F,0.15,1,2.746715829
4,F,0.21,0,0
4,F,0.12,0,0
2,F,0.28,1,16.96988164
2,F,0.64,1,0.8116691379
1,F,0.84,0,0
1,F,0.85,1,11.53240784
1,F,0.78,0,0
2,M,0.74,0,0
2,F,0.85,1,9.004014271
4,F,0.09,1,4.420280732
1,M,0.62,0,0
3,F,0.90,1,23.19786643
1,F,0.75,0,0
3,F,0.37,1,8.4545095
1,M,0.40,1,3.630006055
3,F,0.69,0,0
3,F,0.09,0,0
4,F,0.32,0,0
4,F,0.06,0,0
1,F,0.75,1,4.765800941
4,F,0.29,1,0.2637519307
1,F,0.80,0,0
2,F,0.37,1,0.506710673
2,F,0.58,1,23.63433006
3,M,0.31,1,7.520471479
4,M,0.60,1,3.316250059
3,F,0.63,0,0
1,F,0.74,0,0
2,F,0.40,1,13.85905171
3,M,0.40,0,0
4,M,0.96,0,0
2,M,0.82,0,0
3,M,0.88,1,8.49637927
2,F,0.07,0,0
3,F,0.30,1,6.904184594
1,M,0.05,0,0
2,M,0.10,0,0
2,M,0.06,0,0
2,F,0.44,0,0
1,M,0.44,1,3.972767261
2,F,0.14,0,0
1,M,0.08,0,0
1,F,1.00,1,8.426082714
4,F,0.54,0,0
4,F,0.86,0,0
2,F,0.93,1,12.08421001
1,F,0.94,0,0
1,M,0.16,0,0
4,M,0.38,0,0
3,F,0.09,1,15.34786862
1,F,0.25,0,0
3,M,0.78,1,3.564955598
2,M,0.06,1,25.11413666
2,F,0.98,0,0
4,M,0.88,0,0
4,F,0.42,1,2.846086523
4,M,0.10,0,0
3,M,0.11,0,0
4,M,0.41,0,0
4,F,0.47,0,0
3,F,0.00,0,0
1,M,0.29,0,0
2,F,0.05,1,30.20381023
1,M,0.89,1,7.740373704
4,M,0.28,0,0
2,M,0.56,0,0
1,F,0.61,1,7.123554738
2,F,0.07,1,36.36003802
1,F,0.24,0,0
4,F,0.85,1,13.82653805
4,M,0.53,1,10.70085017
3,F,0.55,1,0.9128463613
1,M,0.25,1,8.580106459
3,M,0.32,0,0
3,F,0.85,0,0
2,M,0.83,1,6.24561839
4,M,0.18,0,0
2,F,0.13,1,5.101536885
3,F,0.06,0,0
2,F,0.41,0,0
3,M,0.58,1,1.025433676
1,M,0.53,0,0
3,M,0.86,1,2.938345176
2,F,0.34,0,0
4,F,0.23,1,10.68423455
4,F,0.60,0,0
3,F,0.70,0,0
1,F,0.39,0,0
4,F,0.04,1,1.388828452
1,M,0.39,0,0
4,F,0.69,1,8.433260145
1,F,0.38,0,0
1,M,0.82,1,24.15132672
1,M,0.99,1,1.97004991
2,F,0.61,0,0
3,M,0.99,0,0
1,F,0.46,0,0
3,M,0.83,1,5.652259946
2,M,0.16,1,2.917990176
4,F,0.72,1,20.00002116
4,M,0.21,1,4.452165595
1,M,0.15,0,0
1,M,0.49,1,2.675044852
1,M,0.78,1,2.948770366
4,F,0.18,0,0
1,F,0.99,1,6.746856339
4,M,0.59,1,1.788751962
4,F,0.99,0,0
3,M,0.94,1,4.378903378
4,F,0.56,0,0
4,M,0.03,1,14.7187398
3,M,0.80,0,0
3,M,0.26,1,37.86557923
3,M,0.91,1,15.81575214
3,M,0.42,0,0
3,M,0.04,0,0
2,M,0.11,0,0
4,F,0.91,1,9.12374411
2,M,0.26,1,15.58152842
1,F,0.33,0,0
3,F,0.82,1,3.054711317
1,M,0.72,0,0
1,F,0.78,0,0
2,F,0.08,0,0
4,M,0.14,0,0
2,F,0.42,1,0.1513294983
4,M,0.75,1,5.863287823
1,M,0.85,0,0
1,F,0.02,1,6.592455303
4,F,0.25,1,0.633256477
4,M,0.95,0,0
3,M,0.82,0,0
3,M,0.49,0,0
1,M,0.74,0,0
3,M,0.01,1,2.030495817
2,F,0.92,0,0
4,M,0.61,1,2.401096215
3,M,0.97,1,1.65046965
1,F,0.31,1,47.14630682
1,M,0.27,1,10.67243508
4,M,0.54,1,13.92337584
3,F,0.54,0,0
2,F,0.61,0,0
4,M,0.37,1,32.0952712
3,M,0.11,0,0
1,F,0.60,0,0
4,M,0.32,0,0
3,M,0.82,1,1.941408808
4,M,0.67,1,2.997402571
1,F,0.17,1,4.323131238
1,F,0.83,1,31.7505584
3,F,0.05,0,0
4,M,0.99,0,0
4,F,0.83,0,0
4,M,0.53,0,0
1,M,0.95,1,4.365334257
1,M,0.13,0,0
4,F,0.14,1,18.34357416
3,M,0.75,1,19.9865688
4,M,0.06,1,2.39420452
3,M,0.40,1,42.47187593
1,F,0.85,1,9.00137899
2,F,0.73,1,0.6909924043
2,M,0.59,1,1.219715496
2,M,0.43,0,0
3,F,0.08,0,0
2,M,0.27,0,0
2,M,0.17,1,8.253106297
3,F,0.36,0,0
4,F,0.87,1,18.34687751
4,F,0.61,0,0
4,M,0.99,0,0
1,F,0.08,1,1.840311119
2,F,0.47,0,0
1,F,0.44,0,0
1,M,0.77,1,5.861265908
4,M,0.48,0,0
4,F,0.72,0,0
4,F,0.67,1,9.045353558
2,M,0.60,0,0
4,F,0.06,1,8.569624751
1,F,0.54,0,0
3,F,0.89,0,0
3,M,0.79,0,0
2,M,0.53,1,2.039588216
4,M,0.07,1,3.043461993
2,M,0.29,0,0
2,F,0.37,0,0
2,M,0.46,1,2.978938557
2,F,0.82,1,12.88925836
2,F,0.49,1,4.745962154
2,F,0.10,0,0
2,F,0.51,0,0
2,M,0.07,1,7.384630673
2,M,0.02,0,0
3,F,0.39,0,0
1,M,0.93,0,0
4,M,0.30,0,0
2,M,0.50,1,3.918996733
2,F,0.69,1,4.566439704
3,M,0.02,1,12.40227983
3,F,0.43,1,14.8789733
2,F,0.63,0,0
2,M,0.95,0,0
2,F,0.98,1,21.45584347
2,M,0.46,1,8.443516556
3,M,0.60,1,3.002258875
4,F,0.38,0,0
3,M,0.07,0,0
3,M,0.05,0,0
1,M,0.45,0,0
1,M,0.21,1,3.183911989
3,F,0.38,0,0
3,F,0.25,1,5.109866363
2,M,0.82,0,0
2,F,0.86,0,0
1,F,0.63,1,33.7339325
3,M,0.91,1,0.7245392458
3,M,0.06,1,5.863108167
3,F,0.18,1,6.597767518
1,F,0.06,1,62.08129635
3,M,0.94,1,14.26070495
4,F,0.22,0,0
1,M,0.58,1,3.5343016
4,F,0.59,0,0
3,F,0.81,0,0
2,M,0.33,1,10.01206941
4,M,0.77,0,0
3,M,0.27,1,8.223367263
1,M,0.58,0,0
2,M,0.71,1,46.10323403
1,F,0.46,0,0
1,M,0.88,0,0
2,M,0.02,0,0
1,F,0.36,1,2.675647668
3,M,0.97,1,46.40963841
2,F,0.96,0,0
3,M,0.17,0,0
4,M,0.47,1,44.54577424
1,M,0.63,1,25.63941907
1,F,0.91,1,19.72706167
1,F,0.15,1,25.09228606
1,F,0.85,1,1.825399975
4,M,0.49,1,1.746986595
2,M,0.67,0,0
1,F,0.02,0,0
2,F,0.80,1,11.31088522
3,F,0.62,1,6.955951265
1,F,0.71,1,2.268990259
4,F,0.63,0,0
1,F,0.97,0,0
4,M,0.42,0,0
1,M,0.25,0,0
2,M,0.86,0,0
3,F,0.47,0,0
4,M,0.69,1,8.434927581
3,F,0.29,0,0
4,F,0.65,1,1.417085133
4,F,0.70,1,8.438157838
3,M,0.75,1,12.98151473
2,M,0.31,1,16.62895772
3,F,0.62,1,6.858126267
2,F,0.75,1,4.532261946
1,F,0.27,0,0
2,F,0.08,0,0
2,F,0.53,0,0
4,M,0.22,0,0
4,M,0.78,0,0
3,M,0.26,1,5.076516252
4,M,0.91,0,0
4,F,0.78,1,29.29300562
1,F,0.70,0,0
4,F,0.61,0,0
1,M,0.77,0,0
2,F,0.91,1,1.878915886
4,F,0.76,0,0
2,M,0.17,1,11.85421907
1,F,0.74,0,0
3,F,0.91,0,0
1,M,0.67,1,0.5001155104
4,F,0.75,0,0
2,F,0.24,0,0
4,M,0.91,1,1.932541055
1,M,0.27,1,18.63529081
1,F,0.00,1,17.66282457
3,M,0.97,1,8.599155569
1,M,0.26,1,7.222581285
2,M,0.03,1,5.666374827
1,M,0.03,0,0
4,M,0.41,0,0
2,M,0.37,1,7.463558231
4,M,0.35,0,0
4,F,0.81,1,4.59648334
4,F,0.48,0,0
1,M,0.57,0,0
1,F,0.10,0,0
4,M,0.04,0,0
2,F,0.43,0,0
4,M,0.82,0,0
1,M,0.09,1,4.387817717
3,M,0.01,1,3.23063813
1,F,0.03,1,13.88265454
1,F,0.99,0,0
1,F,0.35,1,28.11647973
2,F,0.82,0,0
3,F,0.47,0,0
1,F,0.36,1,9.698830657
3,F,0.43,1,11.92896755
3,M,0.84,0,0
1,F,0.40,0,0
2,M,0.59,0,0
3,M,0.23,1,21.95101053
4,M,0.78,0,0
1,M,0.72,1,2.563879085
3,F,0.50,0,0
2,F,0.31,1,4.32685955
1,M,0.58,0,0
4,M,0.22,1,19.34632539
1,F,0.62,0,0
4,F,0.57,0,0
1,M,0.63,0,0
3,F,0.88,1,7.658721853
2,F,0.85,1,1.91897212
2,M,0.36,0,0
2,F,0.12,1,4.001716294
4,F,0.62,0,0
2,M,0.73,0,0
1,F,0.63,1,23.36076254
4,F,0.13,0,0
4,F,0.07,1,12.1355521
3,F,0.07,0,0
2,M,0.94,0,0
3,M,0.02,1,4.94719583
2,F,0.53,1,21.89098773
3,M,0.84,1,8.123753974
4,M,0.06,0,0
3,M,0.95,0,0
3,F,0.54,1,4.670636715
1,M,0.77,0,0
4,M,0.94,0,0
1,F,0.12,1,27.0890858
3,M,0.25,0,0
3,F,0.25,1,2.743806595
4,M,0.92,1,10.8466829
3,F,0.72,1,33.08315704
2,M,0.48,1,2.992338409
3,M,0.25,1,3.076440867
2,M,0.92,1,4.396472673
2,M,0.30,0,0
4,M,0.85,1,10.64654026
1,F,0.23,1,11.74223254
2,F,0.88,1,9.796832616
1,M,0.09,1,16.69973623
3,M,0.86,0,0
4,M,0.10,1,6.730282019
1,M,0.40,1,2.863478198
3,M,0.01,1,8.389041191
1,F,0.20,1,6.654139
2,F,0.22,0,0
1,M,0.11,1,13.59872307
4,F,0.57,0,0
3,F,0.32,0,0
1,F,0.42,1,1.873368574
3,F,0.28,0,0
2,M,0.65,1,3.361272225
4,M,0.87,1,0.6943852834
4,M,0.22,0,0
2,M,0.39,1,3.442641819
2,M,0.18,1,5.87458844
4,F,0.13,0,0
3,F,0.90,0,0
2,M,0.91,0,0
4,M,0.91,1,9.528159334
2,F,0.24,0,0
1,F,0.18,0,0
3,M,0.62,1,14.72945547
3,F,0.38,0,0
2,M,0.02,1,7.853474549
4,F,0.97,1,0.793135786
1,M,0.10,1,31.63994786
2,M,0.63,0,0
4,M,0.35,0,0
3,F,0.44,1,3.239559229
4,F,0.69,1,12.81594427
4,F,0.80,0,0
3,F,0.44,1,3.547129103
2,F,0.08,1,47.40817038
1,M,0.17,1,0.2628164114
1,F,0.85,0,0
2,F,0.60,1,1.558790626
3,M,0.43,1,29.02790412
4,F,0.38,1,5.831236892
1,F,0.60,1,5.385261139
2,F,0.34,1,5.142003605
3,F,0.50,0,0
3,M,0.84,1,0.1070338158
4,M,0.07,1,4.768630883
1,F,0.16,1,16.40434386
1,F,0.22,0,0
4,M,0.63,0,0
4,F,0.65,0,0
4,M,0.61,1,40.01914608
1,M,0.30,1,16.97238755
2,M,0.52,1,2.708737147
2,F,0.88,1,10.73496795
2,F,0.66,0,0
4,M,0.71,1,13.96860767
3,M,0.69,0,0
2,M,0.79,1,11.31174482
1,F,0.94,0,0
2,M,0.51,1,18.90970312
4,F,0.35,0,0
1,M,0.52,1,1.289885219
2,F,0.75,0,0
4,F,0.45,1,1.808142879
4,M,0.58,1,0.2684642603
3,M,0.79,0,0
4,M,0.48,1,35.84055154
3,F,0.44,0,0
3,F,0.03,0,0
3,M,0.96,1,21.46941545
4,M,0.27,1,1.604335101
2,M,0.47,1,24.06157091
2,M,0.17,0,0
1,F,0.89,0,0
4,F,0.68,1,17.93520408
2,M,0.84,0,0
3,F,0.23,1,11.17332027
1,M,0.64,1,5.185005523
4,M,0.44,0,0
4,M,0.52,1,20.06338914
3,F,0.69,1,3.382924504
4,M,0.95,1,5.71777418
3,F,0.27,0,0
1,M,0.24,0,0
4,M,0.21,0,0
2,M,0.93,0,0
4,F,0.12,1,10.31885098
4,M,0.58,1,9.431690436
4,M,0.41,1,8.760882958
1,M,0.69,0,0
4,F,0.09,1,11.58496172
4,M,0.62,1,18.46202304
2,F,0.94,0,0
4,F,0.95,1,7.491324519
2,M,0.04,1,11.71857812
1,F,0.76,0,0
4,M,0.03,1,25.12004607
2,M,0.40,0,0
3,F,0.39,0,0
1,F,0.55,1,6.57520005
4,M,0.71,1,26.94226067
1,F,0.27,1,10.15386349
1,F,0.74,0,0
3,M,0.65,1,29.58610818
1,M,0.73,0,0
4,F,0.21,1,9.566757057
1,M,0.63,1,6.469776414
4,M,0.99,0,0
1,M,0.23,0,0
2,M,0.65,0,0
3,M,0.35,0,0
2,F,0.90,1,3.156841926
2,M,0.16,1,4.834848647
3,M,0.87,0,0
1,F,0.17,1,36.51083279
2,F,0.74,0,0
4,F,0.55,0,0
2,F,0.97,1,0.9630369502
3,F,0.64,0,0
2,M,0.65,1,20.02198869
3,M,0.67,0,0
1,M,0.36,1,2.940694724
2,F,0.08,1,17.85238356
3,M,0.21,0,0
2,F,0.34,1,15.75192636
3,M,0.76,0,0
4,M,0.96,0,0
2,M,0.94,1,2.954734872
3,M,0.62,1,12.22114473
4,F,0.09,1,4.027132726
2,M,0.15,1,1.84882207
2,F,0.71,1,16.52535677
1,M,0.41,0,0
3,M,0.18,0,0
1,M,0.93,0,0
1,M,0.30,0,0
3,F,0.58,1,34.13962384
1,F,0.37,1,4.182799859
1,M,0.77,1,3.064867964
3,M,0.77,0,0
3,F,0.46,0,0
2,F,0.28,0,0
2,M,0.97,1,0.08828268834
2,M,0.15,1,12.42912487
1,F,0.76,0,0
4,M,0.34,0,0
3,F,0.28,1,1.60259605
4,M,0.03,1,6.852781918
4,F,0.43,0,0
3,M,0.94,1,0.7398365096
1,F,0.16,1,13.35735555
3,F,0.71,0,0
1,M,0.91,1,11.59831629
2,F,0.65,1,0.9524117025
2,F,0.94,1,8.643567318
2,M,0.70,0,0
2,F,1.00,1,0.09509167501
2,M,0.74,1,0.2817286238
1,F,0.95,0,0
2,F,0.51,1,8.328980477
1,M,0.59,0,0
3,F,0.58,1,4.553732257
1,F,0.59,1,17.06203357
4,M,0.70,1,17.76907243
2,M,0.05,0,0
2,F,0.71,0,0
2,M,0.68,1,8.496210278
2,F,0.76,0,0
3,M,0.61,0,0
1,M,0.34,0,0
1,F,0.83,1,1.321734009
4,M,0.89,1,15.44464337
1,F,0.16,0,0
4,F,0.75,0,0
4,M,0.90,0,0
4,M,0.13,0,0
3,F,0.92,0,0
3,F,0.68,1,5.578907382
3,M,0.90,1,4.88359824
3,M,0.09,0,0
2,M,0.43,0,0
4,M,0.03,1,6.123242796
4,F,0.14,0,0
1,M,0.72,0,0
1,F,0.28,1,0.7043079881
3,M,0.26,1,7.948414256
3,M,0.07,0,0
2,M,0.75,0,0
2,F,0.25,1,35.7145438
4,F,0.91,1,1.905930636
3,M,0.40,0,0
4,F,0.23,0,0
3,F,0.53,1,32.49713461
4,F,0.17,1,6.300753299
4,F,0.90,1,3.77609515
1,F,0.45,1,23.10440411
1,F,0.81,1,6.631554986
3,F,0.89,1,0.7139453117
3,M,0.57,0,0
3,F,0.67,1,28.77650562
4,F,0.36,1,5.317265247
1,M,0.67,1,4.13476552
4,M,0.71,0,0
3,F,0.71,0,0
3,F,0.33,1,15.17093009
2,M,0.78,0,0
4,F,0.70,1,16.29994988
1,F,0.09,1,5.787912978
2,F,0.66,1,13.1426063
3,F,0.09,0,0
1,M,0.29,1,12.34114723
3,F,0.57,1,10.16071585
2,M,0.51,0,0
4,M,0.25,1,6.587065215
4,M,0.55,0,0
3,F,0.14,0,0
3,M,0.11,0,0
2,F,0.30,1,8.20025466
4,M,0.50,0,0
4,M,0.17,0,0
4,F,0.59,0,0
3,M,0.14,1,10.61857586
3,M,0.13,1,3.425900149
4,F,0.51,0,0
3,F,0.45,0,0
3,M,0.37,1,27.27008837
2,F,0.37,0,0
1,M,0.09,0,0
3,F,0.90,0,0
3,M,0.36,1,5.949145604
3,M,0.98,0,0
2,F,0.49,1,28.37420532
4,M,0.62,1,2.282344602
2,M,0.21,1,26.86338067
4,F,0.89,0,0
4,M,0.28,0,0
4,M,0.06,1,44.90952503
4,M,0.32,1,13.74319211
4,F,0.40,1,5.393991585
2,M,0.27,1,1.438114861
1,F,0.76,1,13.11339994
2,M,0.33,1,9.59433744
2,M,0.55,1,25.09869749
2,F,0.89,1,0.9644672521
1,F,0.92,1,10.19959638
3,M,0.13,1,14.63196295
4,M,0.99,1,16.61827885
1,M,0.62,1,5.617488822
1,F,0.60,0,0
4,M,0.04,1,23.08742442
1,F,0.27,1,20.83866137
4,F,0.12,0,0
2,M,0.08,1,6.472456653
3,F,0.93,1,15.03134268
3,F,0.14,1,5.573870966
1,F,0.13,1,7.425260301
2,M,0.96,1,33.63023543
3,F,0.72,0,0
3,M,0.43,1,1.053572176
2,M,0.17,0,0
2,M,0.62,0,0
4,F,0.29,0,0
1,M,0.35,0,0
2,F,0.29,0,0
4,M,0.23,0,0
3,F,0.96,0,0
4,F,0.93,1,24.23795363
4,F,0.72,0,0
1,F,0.10,0,0
2,F,0.47,0,0
4,M,0.43,0,0
1,F,0.76,0,0
2,M,0.06,1,11.81346939
2,M,0.77,1,9.814718314
2,M,0.75,0,0
4,M,0.60,1,8.12844955
1,F,0.30,0,0
3,F,0.75,1,21.67042293
3,F,0.12,1,28.79292168
2,M,0.88,0,0
1,F,0.74,0,0
2,M,0.02,1,17.20288495
3,M,0.21,0,0
2,M,0.53,0,0
2,M,0.15,0,0
4,M,0.50,0,0
3,M,0.56,1,1.265558078
4,F,0.24,0,0
3,F,0.81,0,0
1,M,0.92,0,0
2,M,0.92,1,13.30549955
4,M,0.15,0,0
1,F,0.60,0,0
1,M,0.52,1,6.492457773
2,M,0.74,1,8.306344322
1,F,0.74,0,0
4,F,0.12,1,13.1191221
1,F,0.27,0,0
2,M,0.38,1,4.473416189
1,M,0.70,1,0.9186833488
3,M,0.74,0,0
2,F,0.65,1,8.011666405
