indiv,year,lwage,educ,exper,exper2,union,pub,married,black,hispanic
309,1984,2.208132505,12,7,49,0,0,1,0,0
309,1985,2.199852467,12,8,64,0,0,1,0,0
309,1986,2.206899881,12,9,81,0,0,1,0,0
309,1987,2.476866961,12,10,100,0,0,1,0,0
351,1980,1.643386841,12,3,9,0,0,0,0,0
351,1981,1.335580468,12,4,16,0,0,0,0,0
351,1982,1.52281785,12,5,25,0,0,1,0,0
351,1983,1.418851376,12,6,36,0,0,1,0,0
351,1984,0.9039274454,12,7,49,0,0,1,0,0
351,1985,1.88856411,12,8,64,0,0,1,0,0
351,1986,1.78344965,12,9,81,0,0,1,0,0
351,1987,1.698008299,12,10,100,0,0,1,0,0
353,1980,1.838197231,12,3,9,0,0,0,0,0
353,1981,1.817077279,12,4,16,1,0,0,0,0
353,1982,1.671740294,12,5,25,0,0,0,0,0
353,1983,1.572830558,12,6,36,0,0,0,0,0
353,1984,1.682546377,12,7,49,0,0,0,0,0
353,1985,1.583640218,12,8,64,0,0,0,0,0
353,1986,1.773293138,12,9,81,0,0,0,0,0
353,1987,1.861078978,12,10,100,0,0,0,0,0
383,1980,1.462888122,12,2,4,0,0,0,1,0
383,1981,1.570217252,12,3,9,0,0,0,1,0
383,1982,1.656601787,12,4,16,1,0,0,1,0
383,1983,1.725410104,12,5,25,0,0,0,1,0
383,1984,1.772158504,12,6,36,0,0,0,1,0
383,1985,2.011084318,12,7,49,0,0,0,1,0
383,1986,1.991016626,12,8,64,0,0,0,1,0
383,1987,1.952050686,12,9,81,0,0,0,1,0
408,1980,1.65209496,11,2,4,0,0,0,0,0
408,1981,1.489534974,11,3,9,0,0,1,0,0
408,1982,1.881175756,11,4,16,0,0,1,0,0
408,1983,2.06103158,11,5,25,0,0,1,0,0
408,1984,2.488836288,11,6,36,1,0,1,0,0
408,1985,2.430938005,11,7,49,1,0,1,0,0
408,1986,2.534560442,11,8,64,1,0,1,0,0
408,1987,2.069602489,11,9,81,1,0,1,0,0
424,1980,2.165839434,12,5,25,0,0,1,0,0
424,1981,2.325399876,12,6,36,0,0,1,0,0
424,1982,2.383650541,12,7,49,0,0,1,0,0
424,1983,2.337211609,12,8,64,0,0,1,0,0
424,1984,2.412507534,12,9,81,0,0,1,0,0
424,1985,2.384145975,12,10,100,0,0,1,0,0
424,1986,2.352030039,12,11,121,0,0,1,0,0
424,1987,2.577756643,12,12,144,0,0,1,0,0
464,1980,0.9726262689,13,2,4,0,0,0,0,0
464,1981,1.003104448,13,3,9,0,0,0,0,0
464,1982,1.099635005,13,4,16,0,0,1,0,0
464,1983,1.21458447,13,5,25,0,0,1,0,0
464,1984,1.319241762,13,6,36,0,0,1,0,0
464,1985,1.389742494,13,7,49,0,0,1,0,0
464,1986,1.573538065,13,8,64,0,0,1,0,0
464,1987,1.900699735,13,9,81,0,0,1,0,0
483,1980,1.682627082,12,5,25,0,0,0,0,0
483,1981,1.661706328,12,6,36,0,0,0,0,0
483,1982,1.755041838,12,7,49,0,0,0,0,0
483,1983,1.753450751,12,8,64,1,0,0,0,0
483,1984,1.618007898,12,9,81,0,0,0,0,0
483,1985,1.648178697,12,10,100,0,0,0,0,0
483,1986,1.745894194,12,11,121,0,0,0,0,0
483,1987,1.727081895,12,12,144,0,0,0,0,0
556,1980,1.939345479,14,2,4,0,0,0,0,0
556,1981,2.120263577,14,3,9,0,0,0,0,0
556,1982,2.160506964,14,4,16,0,0,0,0,0
556,1983,2.489253998,14,5,25,0,0,0,0,0
556,1984,2.37569356,14,6,36,0,0,0,0,0
556,1985,2.295886755,14,7,49,0,0,0,0,0
556,1986,2.299090147,14,8,64,0,0,0,0,0
556,1987,2.581879377,14,9,81,0,0,0,0,0
560,1980,1.386847258,12,2,4,0,0,0,0,0
560,1981,2.127581835,12,3,9,0,0,0,0,0
560,1982,0.9688702226,12,4,16,0,0,0,0,0
560,1983,1.163598895,12,5,25,0,0,0,0,0
560,1984,1.35661912,12,6,36,0,0,0,0,0
560,1985,1.416253328,12,7,49,0,0,0,0,0
560,1986,1.214983225,12,8,64,1,0,0,0,0
560,1987,1.639359474,12,9,81,0,0,0,0,0
569,1980,0.683725059,12,2,4,0,0,0,0,0
569,1981,1.078989029,12,3,9,0,0,0,0,0
569,1982,0.8396357298,12,4,16,0,0,0,0,0
569,1983,1.507569075,12,5,25,0,0,0,0,0
569,1984,1.020651698,12,6,36,0,0,0,0,0
569,1985,0.5425977707,12,7,49,0,0,0,0,0
569,1986,0.1147163138,12,8,64,0,0,0,0,0
569,1987,0.3128517568,12,9,81,0,0,0,0,0
583,1980,1.626772165,12,4,16,0,0,0,0,0
583,1981,1.880874991,12,5,25,0,0,0,0,0
583,1982,1.741196513,12,6,36,1,0,0,0,0
583,1983,2.194788456,12,7,49,1,0,0,0,0
583,1984,2.083836079,12,8,64,0,0,1,0,0
583,1985,1.91844821,12,9,81,0,0,1,0,0
583,1986,2.156713724,12,10,100,0,0,1,0,0
583,1987,1.985040903,12,11,121,0,0,0,0,0
647,1980,1.396706223,12,2,4,1,0,0,0,0
647,1981,1.519825697,12,3,9,1,0,1,0,0
647,1982,1.509153008,12,4,16,1,0,1,0,0
647,1983,1.645041585,12,5,25,1,0,1,0,0
647,1984,1.549015045,12,6,36,1,0,0,0,0
647,1985,1.826956272,12,7,49,1,0,1,0,0
647,1986,1.883680344,12,8,64,1,1,1,0,0
647,1987,2.02366066,12,9,81,1,1,1,0,0
658,1980,1.731417298,12,4,16,1,0,0,0,0
658,1981,1.813758969,12,5,25,0,0,0,0,0
658,1982,1.700048327,12,6,36,1,0,0,0,0
658,1983,1.939648867,12,7,49,1,0,0,0,0
658,1984,1.935752749,12,8,64,0,0,0,0,0
658,1985,2.099785089,12,9,81,0,0,0,0,0
658,1986,2.192046642,12,10,100,0,0,0,0,0
658,1987,2.005142927,12,11,121,0,0,0,0,0
684,1980,2.821782589,12,2,4,0,0,0,0,0
684,1981,2.179982662,12,3,9,0,0,0,0,0
684,1982,2.309426546,12,4,16,0,0,1,0,0
684,1983,2.251321316,12,5,25,0,0,1,0,0
684,1984,2.352297068,12,6,36,0,0,1,0,0
684,1985,2.313848257,12,7,49,0,0,1,0,0
684,1986,2.253420115,12,8,64,0,0,1,0,0
684,1987,2.405352592,12,9,81,0,0,1,0,0
711,1980,1.23202455,11,2,4,0,0,0,0,0
711,1981,1.366491675,11,3,9,0,0,0,0,0
711,1982,1.690503359,11,4,16,0,0,0,0,0
711,1983,1.660871625,11,5,25,0,0,0,0,0
711,1984,1.555876136,11,6,36,0,0,0,0,0
711,1985,-0.7141255736,11,7,49,0,0,0,0,0
711,1986,1.468481064,11,8,64,0,0,0,0,0
711,1987,0.5130057931,11,9,81,0,0,0,0,0
729,1980,1.959579587,13,2,4,1,0,1,0,0
729,1981,1.893339276,13,3,9,0,0,0,0,0
729,1982,3.096215725,13,4,16,1,0,1,0,0
729,1983,1.910813332,13,5,25,1,0,1,0,0
729,1984,1.615264416,13,6,36,0,0,1,0,0
729,1985,2.076528072,13,7,49,0,0,1,0,0
729,1986,2.107539892,13,8,64,0,0,1,0,0
729,1987,2.155585289,13,9,81,0,0,1,0,0
731,1980,1.655638933,12,4,16,0,0,0,0,0
731,1981,1.464255929,12,5,25,0,0,1,0,0
731,1982,1.00782752,12,6,36,0,0,1,0,0
731,1983,1.477949262,12,7,49,0,0,1,0,0
731,1984,0.6187202334,12,8,64,0,0,1,0,0
731,1985,2.225624084,12,9,81,0,0,0,0,0
731,1986,2.657730579,12,10,100,0,0,0,0,0
731,1987,2.139191628,12,11,121,0,0,0,0,0
732,1980,1.497270584,12,3,9,0,0,0,0,0
732,1981,1.601715922,12,4,16,0,0,0,0,0
732,1982,1.504842877,12,5,25,0,0,0,0,0
732,1983,1.798046827,12,6,36,0,0,0,0,0
732,1984,1.652890205,12,7,49,0,0,0,0,0
732,1985,1.763385415,12,8,64,0,0,0,0,0
732,1986,1.722681999,12,9,81,0,0,0,0,0
732,1987,1.762060642,12,10,100,0,0,0,0,0
793,1980,0.8915284276,14,2,4,0,0,0,0,0
793,1981,1.931021571,14,3,9,0,0,0,0,0
793,1982,1.902649879,14,4,16,0,0,0,0,0
793,1983,1.885374784,14,5,25,0,0,0,0,0
793,1984,1.6787076,14,6,36,0,0,0,0,0
793,1985,1.896358371,14,7,49,0,0,0,0,0
793,1986,1.788370252,14,8,64,0,0,0,0,0
793,1987,1.563827395,14,9,81,0,0,0,0,0
797,1980,0.9925240278,10,3,9,0,0,0,0,0
797,1981,2.345144749,10,4,16,1,0,0,0,0
797,1982,1.680933952,10,5,25,1,0,0,0,0
797,1983,1.989654064,10,6,36,0,0,1,0,0
797,1984,2.448014259,10,7,49,1,0,1,0,0
797,1985,2.450180292,10,8,64,1,0,1,0,0
797,1986,2.172239304,10,9,81,1,0,1,0,0
797,1987,2.415983677,10,10,100,1,0,1,0,0
800,1980,1.587761521,11,2,4,1,0,0,0,0
800,1981,1.609437943,11,3,9,1,0,0,0,0
800,1982,1.50818181,11,4,16,1,0,0,0,0
800,1983,1.555510998,11,5,25,1,0,0,0,0
800,1984,1.549015045,11,6,36,1,0,0,0,0
800,1985,1.616430044,11,7,49,0,0,0,0,0
800,1986,1.825936913,11,8,64,1,0,1,0,0
800,1987,1.990435004,11,9,81,1,0,1,0,0
813,1980,1.55621314,13,2,4,0,0,0,0,0
813,1981,0.4229120314,13,3,9,0,0,0,0,0
813,1982,0.7104340792,13,4,16,0,0,0,0,0
813,1983,0.9317216873,13,5,25,0,0,0,0,0
813,1984,-3.579078674,13,6,36,0,0,0,0,0
813,1985,1.32275629,13,7,49,0,0,0,0,0
813,1986,1.389700174,13,8,64,0,0,0,0,0
813,1987,1.543499708,13,9,81,0,0,0,0,0
823,1980,-0.3726613522,10,3,9,0,0,0,0,0
823,1981,0.6063144207,10,4,16,0,0,0,0,0
823,1982,0.8648805022,10,5,25,0,0,0,0,0
823,1983,0.5121712089,10,6,36,0,0,0,0,0
823,1984,0.6839116216,10,7,49,0,0,0,0,0
823,1985,0.9997493029,10,8,64,0,0,0,0,0
823,1986,1.434860587,10,9,81,0,0,0,0,0
823,1987,1.17703557,10,10,100,0,0,0,0,0
827,1980,0.8836852312,12,2,4,0,0,0,0,0
827,1981,1.424866676,12,3,9,0,0,0,0,0
827,1982,1.365903616,12,4,16,0,0,0,0,0
827,1983,1.391688943,12,5,25,0,0,0,0,0
827,1984,1.792189598,12,6,36,0,0,0,0,0
827,1985,1.948283315,12,7,49,0,0,0,0,0
827,1986,2.263611555,12,8,64,0,0,1,0,0
827,1987,2.628963709,12,9,81,0,0,1,0,0
847,1980,1.562727809,14,1,1,1,0,0,1,0
847,1981,1.664497733,14,2,4,1,0,0,1,0
847,1982,1.770546079,14,3,9,0,0,0,1,0
847,1983,1.786034703,14,4,16,0,0,0,1,0
847,1984,2.001000166,14,5,25,0,0,0,1,0
847,1985,1.648178697,14,6,36,1,0,0,1,0
847,1986,2.125710964,14,7,49,0,0,0,1,0
847,1987,1.688419223,14,8,64,1,1,1,1,0
851,1980,1.875813127,12,2,4,0,0,0,0,0
851,1981,1.956676126,12,3,9,0,0,0,0,0
851,1982,1.8672539,12,4,16,0,0,1,0,0
851,1983,2.174533129,12,5,25,0,0,1,0,0
851,1984,1.914497137,12,6,36,0,0,1,0,0
851,1985,2.017925739,12,7,49,1,0,1,0,0
851,1986,2.11765933,12,8,64,1,0,1,0,0
851,1987,1.977629066,12,9,81,1,0,0,0,0
863,1980,1.570450902,12,2,4,0,0,0,0,0
863,1981,1.562185049,12,3,9,0,0,0,0,0
863,1982,1.569976807,12,4,16,0,0,0,0,0
863,1983,1.794119596,12,5,25,0,0,0,0,0
863,1984,1.837172031,12,6,36,0,0,0,0,0
863,1985,1.813934922,12,7,49,0,0,1,0,0
863,1986,2.038395643,12,8,64,0,0,1,0,0
863,1987,1.905903578,12,9,81,0,0,1,0,0
873,1980,0.5968629122,10,2,4,1,0,0,0,0
873,1981,0.4749911726,10,3,9,0,0,0,0,0
873,1982,1.090265393,10,4,16,0,0,0,0,0
873,1983,1.000002027,10,5,25,1,0,0,0,0
873,1984,0.833053112,10,6,36,1,0,0,0,0
873,1985,1.401281118,10,7,49,1,0,0,0,0
873,1986,1.734129429,10,8,64,1,0,0,0,0
873,1987,1.882872105,10,9,81,1,0,0,0,0
891,1980,2.000043869,12,2,4,1,0,0,0,0
891,1981,2.30771184,12,3,9,1,0,1,0,0
891,1982,2.308812618,12,4,16,1,0,1,0,0
891,1983,1.880415797,12,5,25,1,0,0,0,0
891,1984,1.869900823,12,6,36,0,0,1,0,0
891,1985,2.07919836,12,7,49,1,0,1,0,0
891,1986,1.887449741,12,8,64,1,0,1,0,0
891,1987,1.8094275,12,9,81,0,0,0,0,0
908,1980,0.9975806475,10,2,4,1,0,0,0,0
908,1981,0.2309867293,10,3,9,1,0,0,0,0
908,1982,0.4322609305,10,4,16,1,0,0,0,0
908,1983,0.9741553068,10,5,25,1,0,0,0,0
908,1984,0.5122098923,10,6,36,1,0,0,0,0
908,1985,0.9484363198,10,7,49,0,0,0,0,0
908,1986,1.282688141,10,8,64,0,0,0,0,0
908,1987,1.377866626,10,9,81,0,0,1,0,0
910,1980,1.865393281,13,2,4,0,0,0,1,0
910,1981,2.134249687,13,3,9,0,0,0,1,0
910,1982,1.040896535,13,4,16,0,0,0,1,0
910,1983,1.761967659,13,5,25,0,0,0,1,0
910,1984,1.919158101,13,6,36,0,0,0,1,0
910,1985,2.257065535,13,7,49,0,0,0,1,0
910,1986,2.111953735,13,8,64,0,0,0,1,0
910,1987,1.892331481,13,9,81,0,0,0,1,0
916,1980,1.175440669,13,2,4,0,0,0,0,0
916,1981,1.411612153,13,3,9,0,0,0,0,0
916,1982,1.615795016,13,4,16,0,0,0,0,0
916,1983,1.688940644,13,5,25,0,0,0,0,0
916,1984,1.961550236,13,6,36,0,0,0,0,0
916,1985,1.910542965,13,7,49,0,0,0,0,0
916,1986,2.018308878,13,8,64,0,0,0,0,0
916,1987,2.282292366,13,9,81,0,0,0,0,0
919,1980,1.568009496,12,3,9,0,0,1,0,0
919,1981,1.395863771,12,4,16,1,0,1,0,0
919,1982,1.380348444,12,5,25,1,0,1,0,0
919,1983,1.494423389,12,6,36,1,0,1,0,0
919,1984,1.394864321,12,7,49,1,0,1,0,0
919,1985,1.44053936,12,8,64,1,0,1,0,0
919,1986,1.596362472,12,9,81,1,0,1,0,0
919,1987,1.619916916,12,10,100,1,0,1,0,0
922,1980,1.602506399,12,2,4,0,0,0,0,0
922,1981,2.034989834,12,3,9,0,0,0,0,0
922,1982,2.238628387,12,4,16,0,0,0,0,0
922,1983,2.217671394,12,5,25,0,0,0,0,0
922,1984,2.447831154,12,6,36,0,0,0,0,0
922,1985,2.603690147,12,7,49,0,0,0,0,0
922,1986,2.355690479,12,8,64,0,0,0,0,0
922,1987,2.186982155,12,9,81,0,0,1,0,0
924,1980,0.8535585403,11,1,1,0,0,0,0,0
924,1981,0.8921670318,11,2,4,0,0,0,0,0
924,1982,0.8500412703,11,3,9,0,0,0,0,0
924,1983,0.5909377337,11,4,16,0,0,0,0,0
924,1984,1.202973247,11,5,25,0,0,0,0,0
924,1985,1.554618359,11,6,36,0,0,0,0,0
924,1986,1.802115798,11,7,49,0,0,0,0,0
924,1987,1.697930336,11,8,64,0,0,1,0,0
925,1980,2.135246992,15,2,4,0,0,0,0,0
925,1981,2.222542286,15,3,9,0,0,0,0,0
925,1982,2.135670185,15,4,16,0,0,0,0,0
925,1983,2.236235619,15,5,25,0,0,0,0,0
925,1984,2.347522736,15,6,36,0,0,0,0,0
925,1985,2.414448261,15,7,49,0,0,1,0,0
925,1986,0.04944492504,15,8,64,0,0,1,0,0
925,1987,2.623219013,15,9,81,0,0,1,0,0
944,1980,0.819390893,13,2,4,0,0,0,0,0
944,1981,0.5895946622,13,3,9,0,0,0,0,0
944,1982,1.399766564,13,4,16,0,0,0,0,0
944,1983,1.555510998,13,5,25,0,0,0,0,0
944,1984,1.618007898,13,6,36,0,0,0,0,0
944,1985,1.607972264,13,7,49,0,0,0,0,0
944,1986,1.61009264,13,8,64,0,0,0,0,0
944,1987,1.197449684,13,9,81,0,0,0,0,0
945,1980,1.039624929,14,1,1,0,0,0,0,0
945,1981,1.359861135,14,2,4,0,0,0,0,0
945,1982,1.260501981,14,3,9,0,0,0,0,0
945,1983,1.322710156,14,4,16,0,0,0,0,0
945,1984,1.718771577,14,5,25,0,0,0,0,0
945,1985,1.310399175,14,6,36,0,0,0,0,0
945,1986,1.411624789,14,7,49,0,0,0,0,0
945,1987,1.386204362,14,8,64,0,0,0,0,0
947,1980,2.236456871,13,3,9,1,0,0,0,0
947,1981,2.37669301,13,4,16,1,0,0,0,0
947,1982,2.386539221,13,5,25,1,0,1,0,0
947,1983,2.384628057,13,6,36,0,0,1,0,0
947,1984,2.400285006,13,7,49,0,0,1,0,0
947,1985,2.471379042,13,8,64,0,0,1,0,0
947,1986,2.264099836,13,9,81,0,0,1,0,0
947,1987,2.282292366,13,10,100,0,0,1,0,0
955,1980,2.070805311,12,4,16,1,0,0,0,0
955,1981,1.988927484,12,5,25,1,0,0,0,0
955,1982,1.978185415,12,6,36,1,0,0,0,0
955,1983,2.088315487,12,7,49,1,0,0,0,0
955,1984,2.128833532,12,8,64,1,0,0,0,0
955,1985,2.207794428,12,9,81,1,0,0,0,0
955,1986,2.475409031,12,10,100,1,0,0,0,0
955,1987,2.217753887,12,11,121,1,0,0,0,0
965,1980,1.417540312,12,5,25,0,0,0,0,0
965,1981,1.478101969,12,6,36,0,0,0,0,0
965,1982,1.384883642,12,7,49,0,0,0,0,0
965,1983,1.517770767,12,8,64,0,0,0,0,0
965,1984,1.427654147,12,9,81,0,0,1,0,0
965,1985,1.44053936,12,10,100,0,0,1,0,0
965,1986,1.420471787,12,11,121,0,0,1,0,0
965,1987,1.381505847,12,12,144,0,0,1,0,0
996,1980,1.557642698,11,2,4,0,0,1,0,0
996,1981,1.482438207,11,3,9,0,0,1,0,0
996,1982,1.244216204,11,4,16,0,0,1,0,0
996,1983,0.720826745,11,5,25,0,0,1,0,0
996,1984,0.8070776463,11,6,36,0,0,1,0,0
996,1985,0.8231040239,11,7,49,0,0,1,0,0
996,1986,1.109035611,11,8,64,0,0,1,0,0
996,1987,2.238643646,11,9,81,0,0,1,0,0
1007,1980,1.447999597,12,4,16,0,0,0,0,0
1007,1981,1.7525388,12,5,25,0,0,0,0,0
1007,1982,1.547402501,12,6,36,0,0,0,0,0
1007,1983,2.043863773,12,7,49,0,0,0,0,0
1007,1984,2.152143717,12,8,64,0,0,0,0,0
1007,1985,2.267217875,12,9,81,0,0,0,0,0
1007,1986,2.747342825,12,10,100,0,0,1,0,0
1007,1987,2.577179909,12,11,121,0,0,1,0,0
1054,1980,0.7246636748,10,3,9,0,0,0,0,0
1054,1981,1.794262648,10,4,16,0,0,0,0,0
1054,1982,1.161927581,10,5,25,0,0,0,0,0
1054,1983,1.459600091,10,6,36,0,0,1,0,0
1054,1984,1.028219938,10,7,49,0,0,1,0,0
1054,1985,1.303338289,10,8,64,0,0,1,0,0
1054,1986,1.649884939,10,9,81,0,0,1,0,0
1054,1987,1.309185147,10,10,100,1,0,1,0,0
1064,1980,1.903118253,12,4,16,0,0,1,0,0
1064,1981,2.021070957,12,5,25,0,0,1,0,0
1064,1982,1.895427704,12,6,36,0,0,1,0,0
1064,1983,2.122506857,12,7,49,0,0,1,0,0
1064,1984,1.880372167,12,8,64,0,0,1,0,0
1064,1985,1.992477417,12,9,81,0,0,1,0,0
1064,1986,1.964025378,12,10,100,0,0,1,0,0
1064,1987,1.929471016,12,11,121,0,0,1,0,0
1081,1980,1.08799684,10,2,4,0,0,0,0,0
